,x,y,z,prefs
678,27,135,81,-0.604064964910245
679,27,135,84,-0.3941977444824911
680,27,135,87,-0.15558041604340112
681,27,135,90,0.5465694504319946
682,27,138,72,0.5917550006473565
683,27,138,75,0.7681254177557599
684,27,138,78,0.8731050420480313
685,27,138,81,-0.6052707129303758
686,27,138,84,-0.51851927482903
687,27,138,87,-0.33487940371096414
688,27,141,72,0.8145892358262029
689,27,141,75,0.8610983990826812
690,27,141,78,1.0143785713497024
691,27,141,81,0.1370562061832662
692,27,141,84,-0.3850026833677286
693,27,141,87,0.6872413847432343
694,27,144,72,0.9195116171329265
695,27,144,75,0.9056000956462847
696,27,144,78,0.9382881731520814
697,27,144,81,0.7200796957313634
698,27,144,84,0.7304281975474708
699,30,114,78,-0.22736844966213365
700,30,114,81,-0.5482429273219791
701,30,114,84,-1.1222945133739504
702,30,117,75,-0.4064288425738092
703,30,117,78,-0.44460451725025874
704,30,117,81,-1.146576452521248
705,30,117,84,-1.2985136671358997
706,30,117,87,-1.295915180334573
707,30,120,72,-0.8292255966125839
708,30,120,75,-0.8465525832674095
709,30,120,78,-0.9009903515744917
710,30,120,81,-0.946303356684371
711,30,120,84,-1.2512539298165748
712,30,120,87,-1.3657245308248271
713,30,123,69,-0.8753179335923814
714,30,123,72,-0.9127071440616688
715,30,123,75,-0.8593789213840809
716,30,123,78,-0.7975662934015197
717,30,123,81,-0.7334987086388831
718,30,123,84,-0.967038605380124
719,30,123,87,-1.220261420107748
720,30,126,72,-0.749619453077351
721,30,126,75,-0.8352261064430004
722,30,126,78,-0.7516665640773577
723,30,126,81,-0.44568828303778063
724,30,126,84,-0.7880059668250826
725,30,126,87,-0.9326277188638873
726,30,129,72,-0.5199620136099927
727,30,129,75,-0.6650908070008877
728,30,129,78,-0.6582051299137781
729,30,129,81,-0.5017429015270317
730,30,129,84,-0.47062530089838983
731,30,129,87,-0.7768121471525263
732,30,132,72,-0.27318918412280285
733,30,132,75,-0.3659098042086325
734,30,132,78,-0.31028164894688526
735,30,132,81,-0.7107356999373107
736,30,132,84,-0.5527706147844808
737,30,132,87,-0.7824043771718677
738,30,135,72,-0.09287439896974198
739,30,135,75,0.13956486217937428
740,30,135,78,0.016641071870936885
741,30,135,81,-0.7010341254284913
742,30,135,84,-0.5685678315296077
743,30,138,75,0.3462936703897836
744,30,138,78,0.22433356119717424
745,30,138,81,-0.6483634359194742
746,30,138,84,-0.6297621378563797
747,30,141,78,0.08588579316048917
748,33,123,78,-0.9488743230500054
749,33,126,78,-0.854622213253194
